,PCA 1,PCA 2,Clusters
0,-1.4115470866262314,-2.004726913324272,1
1,0.11661929332775146,-0.13563152736209463,3
2,4.345957386323324,-1.8262173444870464,0
3,1.963627380227169,-0.09672482542098118,3
4,1.3368577677750384,-1.9194093634413028,3
5,0.46696312671239626,-0.1837819294931907,3
6,0.09357099745539157,-2.049172390669016,3
7,0.11660034344629806,-0.13541639372218509,3
8,6.286521046904749,-1.7361234336394527,0
9,1.8870075348466069,-0.11400544375163153,3
10,1.5608118239143605,-1.9610717614751607,3
11,0.1165877101919958,-0.13527297129557872,3
12,0.035536530414834226,-1.9683924965998798,3
13,3.2858480680724322,-0.013258764881126544,0
14,1.1689628075616034,-1.966849492538292,3
15,8.74214800378989,0.08042545232771105,0
16,1.139472670041142,-1.973840187589827,3
17,0.5219789424331455,-0.19702615585464214,3
18,0.029347550013276602,-1.9817657505218471,3
19,0.770295444369243,-0.1035569436555321,3
20,1.6540972575054926,-1.9056623027029973,3
21,3.842739563183045,-0.009577792313311911,0
22,4.255792613188088,-1.8205853805312116,0
23,3.0200478898171905,-0.04265182378379709,0
24,3.1188922256796743,-1.8899779019831446,0
25,0.21086510061102967,-0.20482260757959678,3
26,0.09350783118388026,-2.048455278535984,3
27,1.2558792366530271,-0.14117755874114812,3
28,4.421241380874277,-1.8347743999860728,0
29,9.768700169104822,0.14127861240906422,0
30,3.340366929352173,-1.9023985674740442,0
31,0.0879309924206268,-0.12808352036228704,3
32,1.654059357742586,-1.9052320354231784,3
33,0.12268825781343752,-0.12089576038736631,3
34,0.02929701699606757,-1.981192060815422,3
35,3.842695346792987,-0.009075813820189743,0
36,3.103164627861456,-1.895652009202596,0
37,5.330136166761048,0.04715732559415426,0
38,0.4346945658643683,-2.0430169565877887,3
39,1.3069571626683558,-0.19041564670091599,3
40,-0.6618412124548925,-3.1378299290563447,1
41,1.7903886863929463,-0.0463948893824207,3
42,2.909345463381104,-2.975673485063446,0
43,0.7695055513727922,-0.17371358881507135,3
44,4.878087995628655,-2.8859048749453025,0
45,0.7694992347456411,-0.17364187760176816,3
46,-1.3479210284511938,-2.036243886871295,1
47,1.7150867490311594,-0.10781028224197771,3
48,-1.23313893199922,-2.0958715722733845,1
49,0.11646769427612429,-0.13391045824281825,3
50,-1.1070269313524452,-3.0664707201344377,1
51,-1.3244901086348952,-0.15615450891221094,1
52,2.230072343319691,-2.993477579202565,3
53,4.571532695941454,-0.03544241707830669,0
54,4.683928350845496,-2.9042531909142517,0
55,0.7694676516098854,-0.17328332153525225,3
56,0.09341308177661325,-2.0473796103364363,3
57,0.11644242776751974,-0.13362361338960552,3
58,3.3414796128795854,-1.882556169628564,0
59,4.83094501799171,0.032054501192395356,0
60,2.7845565346332166,-1.885878586129862,0
61,1.3281460021345546,-0.1426045700505458,3
62,6.1995460958905255,-1.8269719996896479,0
63,0.11642347788606634,-0.13340847974969597,3
64,0.029202267588800568,-1.9801163926158742,3
65,0.11641716125891523,-0.1333367685363929,3
66,0.09338149864085757,-2.0470210542699205,3
67,1.886824352659224,-0.11192581856583934,3
68,3.178760756387066,-1.8666841447046318,0
69,0.7694234352198275,-0.17278134304212997,3
70,0.682916318393199,-1.9484720761891312,3
71,4.776434552208193,0.04057452817373444,0
72,1.1957604276383687,-1.9608050582877234,3
73,0.7701248954361625,-0.10162074089634628,3
74,1.1392894878537592,-1.9717605624040344,3
75,0.12255560864326374,-0.11938982490799936,3
76,2.4107973558887226,-1.9920705582538454,3
77,2.257994775658827,-0.12541604523388725,3
78,1.6539140753181099,-1.9035826775172051,3
79,6.76078364743994,0.0910965872941216,0
80,-1.348028411112763,-2.035024796245141,1
81,0.7700996289275579,-0.10133389604313366,3
82,-0.8719625319142651,-0.23269469114213037,1
83,0.11635399498740391,-0.13261965640336096,3
84,0.21066928516934458,-0.20259955996719833,3
85,-1.362872928910475,-0.1348921969876528,1
86,0.11633504510595051,-0.1324045227634514,3
87,0.7693476356940139,-0.17192080848249178,3
88,0.11632241185164825,-0.13226110033684504,3
89,-1.2608640504598576,-0.1876714824592339,1
90,0.0877162270974883,-0.12564533910997894,3
91,3.1329902864630195,-0.033632948696892595,0
92,-1.095077514782575,-0.27368881059711414,1
93,3.669013401478207,-0.006637575303077963,0
94,2.0768447074553515,-0.051265114701546766,3
95,0.7700111961474421,-0.1003299390568891,3
96,1.7311999626560364,-0.05800980944648493,3
97,1.3769826903427447,-0.08715188949480039,3
98,0.08766569408027924,-0.1250716494035536,3
99,0.11625292895298579,-0.13147227699051003,3
100,0.11624661232583465,-0.13140056577720696,3
101,-1.2609398499856712,-0.1868109478995956,1
102,0.11623397907153239,-0.13125714335060049,3
103,0.21054926925347306,-0.20123704691443786,3
104,3.199255266913942,-0.02890444037414727,0
105,0.11621502919007899,-0.13104200971069094,3
106,1.3279249201842651,-0.14009467758493452,3
107,1.7032685102130494,-0.05299549772794315,3
108,0.12638780770765484,-2.0408639211464643,3
109,0.7699290799944774,-0.09939769328394772,3
110,0.028974869011359816,-1.9775347889369599,3
111,1.376906890816931,-0.08629135493516231,3
112,0.0289685523842087,-1.9774630777236568,3
113,4.189516690785868,-0.01253750261440909,0
114,3.275937352683053,-1.8676264189494005,0
115,1.3768942575626288,-0.08614793250855594,3
116,0.4341285669791539,-1.9743351715170336,3
117,0.11617081280002108,-0.13054003121756877,3
118,5.415686243427558,-1.8145419033865882,0
119,-1.2610156495114848,-0.1859504133399574,1
120,0.0931288335548123,-2.0441526057377932,3
121,0.08756462804586113,-0.12392426999070265,3
122,0.09312251692766113,-2.0440808945244897,3
123,0.23206857654802418,-0.1528171558882287,3
124,1.2120533087427812,-1.9796848507311244,3
125,0.11614554629141653,-0.13025318636435593,3
126,0.0003307844942931346,-1.970488760430275,3
127,-0.331006885443144,-0.16146169331073135,1
